time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-01 00:00:00+00:00,1,1,2,1
2021-06-02 00:00:00+00:00,1,1,0,0
2021-06-03 00:00:00+00:00,0,0,4,2
2021-06-04 00:00:00+00:00,0,0,6,2
2021-06-05 00:00:00+00:00,0,0,2,1
2021-06-06 00:00:00+00:00,0,0,1,1
2021-06-07 00:00:00+00:00,0,0,4,3
2021-06-08 00:00:00+00:00,1,1,2,1
2021-06-09 00:00:00+00:00,2,2,3,3
2021-06-11 00:00:00+00:00,0,0,7,2
2021-06-12 00:00:00+00:00,0,0,6,1
2021-06-13 00:00:00+00:00,0,0,2,1
2021-06-14 00:00:00+00:00,1,1,10,3
2021-06-15 00:00:00+00:00,0,0,1,1
2021-06-18 00:00:00+00:00,0,0,1,1
2021-06-21 00:00:00+00:00,0,0,6,2
2021-06-22 00:00:00+00:00,0,0,7,3
2021-06-23 00:00:00+00:00,1,1,16,1
2021-06-25 00:00:00+00:00,0,0,6,2
2021-06-26 00:00:00+00:00,0,0,2,1
2021-06-28 00:00:00+00:00,1,1,1,1
2021-06-29 00:00:00+00:00,0,0,2,1
2021-06-30 00:00:00+00:00,0,0,3,1
2021-07-01 00:00:00+00:00,0,0,3,1
2021-07-02 00:00:00+00:00,0,0,1,1
2021-07-06 00:00:00+00:00,0,0,1,1
2021-07-07 00:00:00+00:00,2,2,42,7
2021-07-08 00:00:00+00:00,1,1,9,4
2021-07-09 00:00:00+00:00,1,1,21,3
2021-07-10 00:00:00+00:00,0,0,1,1
2021-07-11 00:00:00+00:00,0,0,1,1
2021-07-12 00:00:00+00:00,0,0,15,4
2021-07-13 00:00:00+00:00,2,2,21,4
2021-07-14 00:00:00+00:00,0,0,4,3
2021-07-15 00:00:00+00:00,1,1,9,4
2021-07-16 00:00:00+00:00,0,0,4,2
2021-07-19 00:00:00+00:00,0,0,6,1
2021-07-20 00:00:00+00:00,2,2,2,2
2021-07-21 00:00:00+00:00,0,0,1,1
2021-07-22 00:00:00+00:00,1,1,11,2
